gameDate,gameId,team,opposingTeam,home_or_away,playoffGame,goals_for,goals_against,xGoalsFor,xGoalsAgainst,shotsOnGoalFor,shotsOnGoalAgainst,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,total_shots_x,total_xGoals,total_rebounds,avg_shot_distance,total_shots_y,total_goals,shots_on_goal,xGoals,missed_shots,blocked_shots,shooterPlayerId,playerPositionThatDidEvent,total_shots_by_player,total_xGoals_by_player,shooterName
2024-10-09,2024020007,NYR,PIT,AWAY,0,0.0,0.0,1.787,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-09,2024020007,NYR,PIT,AWAY,0,6.0,0.0,6.581,3.525,40.0,31.0,0.0,5.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-09,2024020007,NYR,PIT,AWAY,0,5.0,0.0,4.505,2.943,34.0,28.0,0.0,4.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-09,2024020007,NYR,PIT,AWAY,0,1.0,0.0,0.266,0.582,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-09,2024020007,NYR,PIT,AWAY,0,0.0,0.0,0.023,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-12,2024020030,NYR,UTA,HOME,0,0.0,2.0,0.086,0.667,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,
2024-10-12,2024020030,NYR,UTA,HOME,0,5.0,6.0,3.684,3.5,34.0,26.0,3.0,1.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,
2024-10-12,2024020030,NYR,UTA,HOME,0,4.0,3.0,3.128,1.697,28.0,17.0,3.0,0.0,1.0,1.0,2.0,0.0,,,,,,,,,,,,,,,
2024-10-12,2024020030,NYR,UTA,HOME,0,0.0,1.0,0.019,1.136,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2024-10-12,2024020030,NYR,UTA,HOME,0,1.0,0.0,0.451,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-14,2024020045,NYR,DET,HOME,0,1.0,0.0,1.478,0.226,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-14,2024020045,NYR,DET,HOME,0,4.0,1.0,4.294,2.578,28.0,32.0,2.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
2024-10-14,2024020045,NYR,DET,HOME,0,2.0,1.0,1.718,2.052,19.0,21.0,2.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
2024-10-14,2024020045,NYR,DET,HOME,0,0.0,0.0,0.133,0.233,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-14,2024020045,NYR,DET,HOME,0,1.0,0.0,0.964,0.066,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-17,2024020063,NYR,DET,AWAY,0,0.0,0.0,0.284,0.509,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-17,2024020063,NYR,DET,AWAY,0,5.0,2.0,4.585,3.967,34.0,31.0,2.0,0.0,3.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
2024-10-17,2024020063,NYR,DET,AWAY,0,2.0,1.0,2.63,2.12,26.0,24.0,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-17,2024020063,NYR,DET,AWAY,0,0.0,1.0,0.0,1.338,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2024-10-17,2024020063,NYR,DET,AWAY,0,3.0,0.0,1.67,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-19,2024020079,NYR,TOR,AWAY,0,3.0,0.0,2.212,0.397,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-19,2024020079,NYR,TOR,AWAY,0,4.0,1.0,4.698,3.925,29.0,35.0,0.0,1.0,3.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
2024-10-19,2024020079,NYR,TOR,AWAY,0,1.0,1.0,2.37,2.796,23.0,27.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
2024-10-19,2024020079,NYR,TOR,AWAY,0,0.0,0.0,0.07,0.732,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-19,2024020079,NYR,TOR,AWAY,0,0.0,0.0,0.046,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-22,2024020096,NYR,MTL,AWAY,0,0.0,0.0,0.668,0.111,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-22,2024020096,NYR,MTL,AWAY,0,7.0,2.0,6.822,2.157,45.0,23.0,3.0,2.0,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,,
2024-10-22,2024020096,NYR,MTL,AWAY,0,6.0,1.0,4.349,1.732,34.0,21.0,3.0,2.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
2024-10-22,2024020096,NYR,MTL,AWAY,0,0.0,1.0,0.574,0.314,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
2024-10-22,2024020096,NYR,MTL,AWAY,0,1.0,0.0,1.231,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-24,2024020113,NYR,FLA,HOME,0,0.0,0.0,0.141,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-24,2024020113,NYR,FLA,HOME,0,1.0,3.0,3.482,2.843,25.0,29.0,0.0,0.0,1.0,1.0,2.0,0.0,,,,,,,,,,,,,,,
2024-10-24,2024020113,NYR,FLA,HOME,0,1.0,3.0,2.179,2.74,18.0,24.0,0.0,0.0,1.0,1.0,2.0,0.0,,,,,,,,,,,,,,,
2024-10-24,2024020113,NYR,FLA,HOME,0,0.0,0.0,0.043,0.035,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-24,2024020113,NYR,FLA,HOME,0,0.0,0.0,1.118,0.068,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-26,2024020128,NYR,ANA,HOME,0,0.0,1.0,0.506,0.409,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
2024-10-26,2024020128,NYR,ANA,HOME,0,2.0,1.0,3.466,1.661,32.0,33.0,0.0,2.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
2024-10-26,2024020128,NYR,ANA,HOME,0,2.0,0.0,2.74,1.179,27.0,25.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-26,2024020128,NYR,ANA,HOME,0,0.0,0.0,0.0,0.073,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-26,2024020128,NYR,ANA,HOME,0,0.0,0.0,0.221,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-29,2024020151,NYR,WSH,AWAY,0,1.0,2.0,0.17,1.756,1.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,
2024-10-29,2024020151,NYR,WSH,AWAY,0,3.0,5.0,2.626,8.634,19.0,46.0,0.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,
2024-10-29,2024020151,NYR,WSH,AWAY,0,1.0,3.0,1.601,4.341,15.0,36.0,0.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
2024-10-29,2024020151,NYR,WSH,AWAY,0,0.0,0.0,0.143,1.966,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-29,2024020151,NYR,WSH,AWAY,0,1.0,0.0,0.712,0.571,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-11-01,2024020170,NYR,OTT,HOME,0,0.0,0.0,0.337,0.775,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-11-01,2024020170,NYR,OTT,HOME,0,2.0,1.0,1.922,2.699,18.0,41.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
2024-11-01,2024020170,NYR,OTT,HOME,0,1.0,1.0,0.886,1.732,13.0,31.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
2024-11-01,2024020170,NYR,OTT,HOME,0,0.0,0.0,0.014,0.18,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-11-01,2024020170,NYR,OTT,HOME,0,1.0,0.0,0.684,0.012,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-11-03,2024020185,NYR,NYI,HOME,0,1.0,0.0,0.964,0.062,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-11-03,2024020185,NYR,NYI,HOME,0,5.0,2.0,3.863,3.25,40.0,37.0,3.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,
2024-11-03,2024020185,NYR,NYI,HOME,0,2.0,2.0,1.927,3.093,27.0,30.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,
2024-11-03,2024020185,NYR,NYI,HOME,0,1.0,0.0,0.527,0.057,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-11-03,2024020185,NYR,NYI,HOME,0,1.0,0.0,0.445,0.038,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-11-07,2024020213,NYR,BUF,HOME,0,0.0,0.0,0.491,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-11-07,2024020213,NYR,BUF,HOME,0,1.0,6.0,3.984,1.703,26.0,22.0,0.0,1.0,0.0,4.0,1.0,1.0,,,,,,,,,,,,,,,
2024-11-07,2024020213,NYR,BUF,HOME,0,1.0,5.0,2.014,0.799,15.0,14.0,0.0,1.0,0.0,4.0,1.0,0.0,,,,,,,,,,,,,,,
2024-11-07,2024020213,NYR,BUF,HOME,0,0.0,1.0,0.008,0.904,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2024-11-07,2024020213,NYR,BUF,HOME,0,0.0,0.0,1.471,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-11-09,2024020228,NYR,DET,AWAY,0,1.0,0.0,0.327,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
